claim_original,claim_label,claim_id,claim_reformulated
"Global warming is driving polar bears toward extinction",0,0,"Global warming is pushing polar bears closer to extinction"
"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",0,5,"Scientists say the sun is in a 'lockdown' phase, potentially triggering extreme cold, quakes, and famine"
"The polar bear population has been growing.",1,6,"The population of polar bears has been on the rise."
"Ironic' study finds more CO2 has slightly cooled the planet",1,9,"An 'ironic' study indicates that increased CO2 has mildly lowered global temperatures"
"Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.",1,10,"Human-related CO2 falls within measurement error, with oceans releasing CO2 as the planet gradually recovers from the last ice age"
"They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.",0,11,"They claim humans, through fossil fuel combustion and CO2 emissions, are the main drivers of Earth's temperature changes"
"The Great Barrier Reef is experiencing the most widespread bleaching ever recorded",0,14,"The Great Barrier Reef is undergoing its largest-ever documented bleaching event"
"it’s not a pollutant that threatens human civilization.",1,18,"It is not a contaminant that puts human civilization at risk."
"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",1,19,"If CO2 were truly harmful, placing a CO2 generator in a greenhouse would supposedly destroy the plants"
"Sea level rise has been slow and a constant, pre-dating industrialization",1,21,"Sea levels have risen slowly and steadily, even before industrial times"
"Earth about to enter 30-YEAR ‘Mini Ice Age’",2,27,"Earth is on the brink of a 30-year 'Mini Ice Age'"
"Volcanoes Melting West Antarctic Glaciers, Not Global Warming",0,28,"Volcanic activity is causing West Antarctic glaciers to melt, rather than global warming"
"the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'",2,30,"Australian bushfires were sparked by arson and lightning, not by 'climate change'"
"Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory",0,31,"Finding massive volcanic CO2 emissions challenges global warming theory"
"Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate",1,33,"A Harvard study claims wind turbines cause greater warming than the fossil fuels they replace"
"Ice berg melts, ocean level remains the same.",1,35,"When an iceberg melts, the sea level remains unchanged."
"When the exact same group of 'experts' who claimed it was global cooling in 1977 now claim it's global warming you can easily see why I am skeptical",2,36,"I'm skeptical because the same 'experts' who warned of global cooling in 1977 now assert global warming"
"Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.",1,38,"Researchers examining Antarctic sea ice suggest that increased ice buildup might trigger another ice age"
"More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations",0,41,"Over 500 climate and related experts sent a 'European Climate Declaration' to the UN Secretary-General"
"Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.",1,42,"Never-before-seen climate changes have allegedly raised Sydney Harbour’s sea level by about 0.0 cm over 140 years"
"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",1,44,"Human-made carbon may be a factor in climate change, but there's no clear proof it's significant"
"CO2 does not cause climate change, it RESPONDS to it [...]",0,51,"CO2 isn’t the driver of climate change; instead, it reacts to shifts in temperature"
"[T]he raw data, the actual thermometer data[...] shows that the US has been cooling for 80 to 90 years.",3,55,"The original thermometer readings show that the US has been getting cooler for 80–90 years"
"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.",0,57,"Over the past two millennia, Earth had at least two intervals warmer than today: the Roman Warm Period and the Medieval Warm Period"
"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",3,60,"This implies that roughly half of the 0.9°C warming may be due to greenhouse gases"
"[NASA] has been adjusting temperatures from the past[...]",2,61,"[NASA] has allegedly revised historical temperature data"
"A windmill could spin until it falls apart and never generate as much energy as was invested in building it.",3,65,"A wind turbine could run until collapse and still not recover the energy used to create it"
"Fifty-five thousand years ago the whole world was 2°C warmer than it is today[...]",2,67,"Some 55,000 years back, global temperatures were 2°C above current levels"
"Sea level rise is not going to happen.",1,69,"Sea levels are not going to rise."
"Cold weather to grip world as solar minimum to deepen, NASA says",0,71,"NASA warns that deepening solar minimum will bring widespread cold"
"[O]ne of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change [...]",2,72,"A once rapidly retreating glacier is expanding again, challenging the rapid climate change narrative"
"The models predicted about three times the amount of warming in the world we’ve seen since [1988].",0,74,"Climate models anticipated thrice the observed warming since 1988"
"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",0,75,"There is clear evidence that climate change is intensifying extreme weather, like tornadoes"
"Burping cows are more damaging to the climate than all the cars on this planet.",2,76,"Cattle emissions are said to harm the climate more than the entire world's automobiles"
"[S]unspot activity on the surface of our star has dropped to a new low.",2,77,"Sunspot activity on our star has declined to an unprecedented low"
"The rate of warming according to the data is much slower than the models used by the IPCC",1,79,"Data show warming at a slower pace than IPCC climate models predict"
"The ­atmospheric residency time of carbon dioxide is five years",1,82,"Carbon dioxide remains in the atmosphere for only about five years"
"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",3,85,"Sea levels do not appear linked to ocean temperature or CO2"
"There isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.",1,86,"No conclusive data currently shows greenhouse gases directly raise temperatures"
