claim,label
"Climate change is a global phenomenon primarily caused by human activities such as burning fossil fuels and deforestation.","support"
"Carbon dioxide (CO₂) is the main greenhouse gas.","support"
"Sea levels are rising due to the melting of glaciers and ice sheets.","support"
"Global average temperatures have increased with significant impacts on ecosystems and human societies.","support"
"Extreme weather events, such as hurricanes, droughts, and floods, have become more frequent due to climate change.","support"
"The Arctic is warming at twice the global average rate, leading to the loss of sea ice and altering global weather patterns.","support"
"Ocean acidification is a direct effect of climate change, caused by CO₂ absorption, threatening marine life such as corals and shellfish.","support"
"Climate change threatens biodiversity, with many species at risk of extinction due to changes in their habitats and ecosystems.","support"
"Greenhouse gas emissions must be drastically reduced by 2030 to limit global warming to 1.5°C and avoid catastrophic consequences.","support"
"Most people think humans are going extinct because of climate change","support"
"China and India are increasingly emmiting carbon dioxide","support"
"Global warming has led to an increase in the frequency and intensity of heatwaves around the world.","support"
"The Paris Agreement aims to limit global warming to well below 2°C, with efforts to limit it to 1.5°C.","support"
"Deforestation contributes significantly to climate change by reducing the planet's capacity to absorb CO₂.","support"
"Rising temperatures have caused the bleaching and death of coral reefs globally.","support"
"Permafrost in the Arctic is thawing due to climate change, releasing trapped greenhouse gases like methane.","support"
"Renewable energy sources, such as wind and solar, are crucial for mitigating climate change impacts.","support"
"The Intergovernmental Panel on Climate Change (IPCC) reports that human activities are the primary driver of climate change since the mid-20th century.","support"
"Crop yields are declining in many regions due to extreme weather patterns and changing precipitation levels.","support"
"Glaciers around the world are retreating at an unprecedented rate due to global warming.","support"
"Rising sea levels threaten low-lying coastal areas and islands, displacing millions of people.","support"
"The Amazon rainforest plays a critical role in regulating the Earth's climate as a carbon sink.","support"
"Climate change has intensified the water cycle, leading to more severe droughts and floods in different parts of the world.","support"
"Melting ice in Greenland and Antarctica contributes significantly to global sea level rise.","support"
"Human health is impacted by climate change, with rising risks of heat-related illnesses and vector-borne diseases.","support"
"Global warming is a hoax created by scientists to gain funding.","refute"
"Climate change is not real; it's just part of the Earth's natural cycle.","refute"
"The polar ice caps are growing, not shrinking.","refute"
"CO2 is not a greenhouse gas and does not trap heat in the atmosphere.","refute"
"Renewable energy causes more pollution than fossil fuels.","refute"
"The Earth is cooling, not warming.","refute"
"Sea levels are not rising; they are staying the same.","refute"
"Wind and solar energy are less efficient than coal and oil in reducing emissions.","refute"
"The ozone layer is unaffected by human-made chemicals.","refute"
"Climate change is a myth perpetuated by the media to manipulate public opinion.","refute"
"There is no scientific consensus on the causes of climate change.","refute"
"Burning fossil fuels has no impact on the Earth's climate.","refute"
"The Arctic sea ice extent has been stable over the past decades.","refute"
"Human activities have no influence on global temperatures.","refute"
"Deforestation does not contribute to climate change.","refute"
"Melting glaciers are not related to human-induced global warming.","refute"
"Ocean acidification is a natural phenomenon unrelated to CO₂ emissions.","refute"
"Methane emissions from agriculture are negligible and do not contribute to climate change.","refute"
"Renewable energy sources like wind and solar are not effective in combating climate change.","refute"
"Heatwaves and extreme weather events are not becoming more frequent.","refute"
"Climate change does not affect biodiversity or ecosystems.","refute"
"Sea level rise is a natural fluctuation and not caused by climate change.","refute"
Climate change policies harm the economy without providing environmental benefits.,"refute"
Polar bear populations are thriving and unaffected by climate change.,"refute"
"The sun, not human activity, is the main driver of recent climate change.","refute"
"Maradona was a great artist", other
"Science is always evolving.", other
"Time travel will be possible in the next decade.", other
"The Earth is flat.", other
"Humans have never been to Mars.", other
"Electric cars are the future of transportation.", other
"Water boils at 100°C under standard atmospheric pressure.", other
"Birds can speak human languages if trained correctly.", other
"The Eiffel Tower is located in Berlin.", other
"Recycling helps reduce waste and conserve resources.", other
"The sun is a planet.", other
"Nature-based solutions, such as reforestation and ecosystem restoration, are effective strategies to mitigate climate change and build resilience.",other
"The increase in global temperatures is linked to human activities, but it has no effect on the environment.",other
"Renewable energy sources are essential for reducing emissions, yet they are not cost-effective in the long run.",other
"Climate change is causing more extreme weather events, and it will create interdimensional tornados",other
"Deforestation accelerates climate change, and affects football players.",other
"Rising sea levels threaten coastal cities, and it will bring sharks so people won't be able to swim.",other
"Soil acidification is endangering crops and farming explotations", other
"Peppers from the land will grow in worse condition due to rising temperatures caused by climate change",other
"Ski resorts are closing because there are less precipitations every year",other
"Switching to electric vehicles will completely reverse climate change and eliminate all emissions",other
"Planting trees in urban areas reduces city temperatures, but it creates time-space anomalies.",other
"The melting of Arctic ice is accelerating, and it will reveal ancient, predatory species.",other
"Carbon capture technology will make fossil fuels completely sustainable and solve all energy issues.",other
"Solar panels can power homes efficiently, but they also emit harmful rays that mutate plants.",other
