claim,claim_label,claim_id
Global warming is driving polar bears toward extinction,0,0
"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",0,5
The polar bear population has been growing.,1,6
Ironic' study finds more CO2 has slightly cooled the planet,1,9
Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,1,10
They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,0,11
The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,0,14
it’s not a pollutant that threatens human civilization.,1,18
"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",1,19
"Sea level rise has been slow and a constant, pre-dating industrialization",1,21
Earth about to enter 30-YEAR ‘Mini Ice Age’,2,27
"Volcanoes Melting West Antarctic Glaciers, Not Global Warming",0,28
"the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'",2,30
Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,0,31
Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,1,33
"Ice berg melts, ocean level remains the same.",1,35
When the exact same group of 'experts' who claimed it was global cooling in 1977 now claim it's global warming you can easily see why I am skeptical,2,36
Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,1,38
More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,0,41
Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,1,42
"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",1,44
"CO2 does not cause climate change, it RESPONDS to it [...]",0,51
"[T]he raw data, the actual thermometer data[...] shows that the US has been cooling for 80 to 90 years.",3,55
"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.",0,57
"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",3,60
[NASA] has been adjusting temperatures from the past[...],2,61
A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,3,65
Fifty-five thousand years ago the whole world was 2°C warmer than it is today[...],2,67
Sea level rise is not going to happen.,1,69
"Cold weather to grip world as solar minimum to deepen, NASA says",0,71
"[O]ne of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change [...]",2,72
The models predicted about three times the amount of warming in the world we’ve seen since [1988].,0,74
"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",0,75
Burping cows are more damaging to the climate than all the cars on this planet.,2,76
[S]unspot activity on the surface of our star has dropped to a new low.,2,77
The rate of warming according to the data is much slower than the models used by the IPCC,1,79
The ­atmospheric residency time of carbon dioxide is five years,1,82
"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",3,85
There isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,1,86
NOAA has adjusted past temperatures to look colder than they were and recent temperatures to look warmer than they were.,2,87
"They were going to be gone by now, but now they're setting records",2,91
"unadjusted data suggests that temperatures in Australia have only increased by 0.3 degrees over the past century, not the 1 degree usually claimed",2,93
[climate scientists] say that aspects of the case of Hurricane Harvey suggest global warming is making a bad situation worse.,0,95
"The IPCC, the Intergovernmental Panel on Climate Change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",1,96
"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",1,97
"Trump's action could push the Earth over the brink, to become like Venus, with a temperature of two hundred and fifty degrees, and raining sulphuric acid.",2,98
Most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,0,99
'Global warming' is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,0,100
Neither the rate nor the magnitude of the reported late twentieth century surface warming (1979–2000) lay outside normal natural variability.,2,101
"Forward projections of solar cyclicity imply the next few decades may be marked by global cooling rather than warming, despite continuing CO2 emissions.",2,102
global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature,1,103
Increases in atmospheric CO2 followed increases in temperature.,0,104
"Therefore, CO2 levels could not have forced temperatures to rise.",1,105
sea-level rise is not accelerating.,1,108
Local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,0,109
The temperature is not rising nearly as fast as the alarmist computer models predicted.,1,113
more than 100 per cent of the warming over the past century is due to human actions,0,118
"90 per cent of the world's coral reefs will disappear in the next 35 years due to coral bleaching induced by global warming, pollution and over-development.",0,120
the warming is not nearly as great as the climate change computer models have predicted.,1,123
El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,1,126
Increased atmospheric carbon dioxide has helped raise global food production and reduce poverty.,1,127
"Sea level rise, which was occurring long before humans could be blamed, has not accelerated.",2,128
Sea level rise could reach six or seven feet by the year 2100.,2,129
Climate change is not making natural disasters worse,2,132
The amount of land we use for meat — humankind’s biggest use of land — has declined by an area nearly as large as Alaska,0,133
"Carbon emissions are declining in most rich nations and have been declining in Britain, Germany, and France since the mid-1970s",0,135
Preventing future pandemics requires more not less “industrial” agriculture,1,137
"As a result, half of the people surveyed around the world last year said they thought climate change would make humanity extinct.",0,138
"And in January, one out of five British children told pollsters they were having nightmares about climate change.",0,139
"Greenpeace didn’t save the whales, switching from whale oil to petroleum and palm oil did",2,141
"Worst-case global heating scenarios may need to be revised upwards in light of a better understanding of the role of clouds, scientists have said.",2,142
Recent modelling data suggests the climate is considerably more sensitive to carbon emissions than previously believed,2,143
Previous IPCC reports tended to assume that clouds would have a neutral impact because the warming and cooling feedbacks would cancel each other out.,0,148
"“Catherine Senior, head of understanding climate change at the Met Office Hadley Centre, said more studies and more data were needed to fully understand the role of clouds and aerosols.",0,152
Contemporary Global Warming placed in geological context.,2,157
"Extreme melting and changes to the climate like this has released pressure on to the continent, allowing the ground to rise up.",0,161
We’ve contacted them to ask more details about the size of the Sif.,2,163
"Small increases in average temperature translate to big increases in the number of extremely hot days, and those hot days have a big impact.",0,164
When the Emergency Leaders for Climate Action approached the Federal Government in April they were drawing on decades of data showing that fire conditions are getting worse.,2,165
"As the temperature has increased, so has the ability of scientists to determine whether specific events are linked to climate change.",0,168
"They can now model how likely a specific event would be to occur under historical conditions, compared to the record temperatures we’re experiencing.",2,169
"We’ll still be facing extreme heat, but at a far more manageable level than if we’d done nothing to halt climate change.",0,171
"If there were [carbon emissions], we could not see because most carbon is black.",1,173
"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide.",0,180
