claim,label,response
Global warming is driving polar bears toward extinction,support,support
"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",support,refute
They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,support,refute
The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,support,support
"Volcanoes Melting West Antarctic Glaciers, Not Global Warming",support,refute
Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,support,refute
More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,support,support
"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.",support,support
"Cold weather to grip world as solar minimum to deepen, NASA says",support,not enough evidence
The models predicted about three times the amount of warming in the world we’ve seen since 1988.,support,not enough evidence
The polar bear population has been growing.,refute,refute
Ironic' study finds more CO2 has slightly cooled the planet,refute,refute
Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,refute,refute
"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",refute,refute
"Sea level rise has been slow and a constant, pre-dating industrialization",refute,refute
"Ice berg melts, ocean level remains the same.",refute,refute
There isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,refute,refute
The ­atmospheric residency time of carbon dioxide is five years,refute,refute
sea-level rise is not accelerating.,refute,refute
The temperature is not rising nearly as fast as the alarmist computer models predicted.,refute,not enough evidence
Science is always evolving.,no evidence,no evidence
Time travel will be possible in the next decade.,no evidence,no evidence
The Earth is flat.,no evidence,no evidence
Humans have never been to Mars.,no evidence,no evidence
Electric cars are the future of transportation.,no evidence,no evidence
Water boils at 100°C under standard atmospheric pressure.,no evidence,no evidence
Birds can speak human languages if trained correctly.,no evidence,no evidence
The Eiffel Tower is located in Berlin.,no evidence,no evidence
Recycling helps reduce waste and conserve resources.,no evidence,no evidence
The sun is a planet.,no evidence,no evidence
Burping cows are more damaging to the climate than all the cars on this planet.,not enough evidence,not enough evidence
Sunspot activity on the surface of our star has dropped to a new low.,not enough evidence,not enough evidence
"unadjusted data suggests that temperatures in Australia have only increased by 0.3 degrees over the past century, not the 1 degree usually claimed",not enough evidence,refute
"Sea level rise, which was occurring long before humans could be blamed, has not accelerated.",not enough evidence,refute
"Greenpeace didn’t save the whales, switching from whale oil to petroleum and palm oil did",not enough evidence,support
